"X","vid_name","frame","num_right_hands","num_left_hands","num_faces","hand_present","face_present","face_openpose","hand_openpose","height","width","left","top","label","mean_conf","WorkerID"
0,"S_20141112_2426_03.mp4",3515,1,1,1,1,1,0,0,0,0,0,0,"hand",0,"OP"
0,"S_20141112_2426_03.mp4",3515,1,1,1,1,1,0,0,0,0,0,0,"hand",0,"OP"
0,"S_20141112_2426_03.mp4",3515,1,1,1,1,1,0,0,0,0,0,0,"face",0,"OP"
10,"S_20141228_2611_08.mp4",8785,1,1,1,1,1,1,1,0.123558,0.158587,0.161252,0.955299,"hand",0.588545428571429,"OP"
10,"S_20141228_2611_08.mp4",8785,1,1,1,1,1,1,1,0.109225,0.02783,0.157609,0.881728,"hand",0.0914787095238095,"OP"
10,"S_20141228_2611_08.mp4",8785,1,1,1,1,1,1,1,0.116247,0.093461,0.277424,0.621794,"face",0.240435907285714,"OP"
10002,"S_20140403_1717_08.mp4",8240,1,1,1,0,1,1,1,0.0383800000000001,0.043981,0.347446,0.835445,"hand",0.0254509619047619,"OP"
10002,"S_20140403_1717_08.mp4",8240,1,1,1,0,1,1,1,0,0,0,0,"hand",0,"OP"
10002,"S_20140403_1717_08.mp4",8240,1,1,1,0,1,1,1,0.110284,0.087047,0.377211,0.656418,"face",0.0158423013142857,"OP"
10005,"S_20131003_1116_01.mp4",12015,2,2,2,1,0,0,1,0.043022,0.015023,0.642568,0.662881,"hand",0.0134955652380952,"OP"
10005,"S_20131003_1116_01.mp4",12015,2,2,2,1,0,0,1,0.028658,0.033071,0.432662,0.626547,"hand",0.0229541333333333,"OP"
10005,"S_20131003_1116_01.mp4",12015,2,2,2,1,0,0,1,0,0,0,0,"hand",0,"OP"
10005,"S_20131003_1116_01.mp4",12015,2,2,2,1,0,0,1,0,0,0,0,"hand",0,"OP"
10005,"S_20131003_1116_01.mp4",12015,2,2,2,1,0,0,1,0,0,0,0,"face",0,"OP"
10005,"S_20131003_1116_01.mp4",12015,2,2,2,1,0,0,1,0,0,0,0,"face",0,"OP"
10007,"S_20150409_2923_08.mp4",12115,1,1,1,1,1,0,0,0,0,0,0,"hand",0,"OP"
10007,"S_20150409_2923_08.mp4",12115,1,1,1,1,1,0,0,0,0,0,0,"hand",0,"OP"
10007,"S_20150409_2923_08.mp4",12115,1,1,1,1,1,0,0,0,0,0,0,"face",0,"OP"
10008,"S_20140215_1529_02.mp4",3545,1,1,1,0,0,0,0,0,0,0,0,"hand",0,"OP"
10008,"S_20140215_1529_02.mp4",3545,1,1,1,0,0,0,0,0,0,0,0,"hand",0,"OP"
10008,"S_20140215_1529_02.mp4",3545,1,1,1,0,0,0,0,0,0,0,0,"face",0,"OP"
10010,"S_20140326_1709_04.mp4",12045,1,1,1,1,0,0,1,0.022502,0.027248,0.584868,0.588627,"hand",0.127387071428571,"OP"
10010,"S_20140326_1709_04.mp4",12045,1,1,1,1,0,0,1,0.054878,0.015837,0.523139,0.557934,"hand",0.0336695523809524,"OP"
10010,"S_20140326_1709_04.mp4",12045,1,1,1,1,0,0,1,0,0,0,0,"face",0,"OP"
10011,"S_20131228_1411_03.mp4",31015,1,1,1,1,0,0,1,0.120451,0.087469,0.703767,0.528448,"hand",0.0157039552380952,"OP"
10011,"S_20131228_1411_03.mp4",31015,1,1,1,1,0,0,1,0,0,0,0,"hand",0,"OP"
10011,"S_20131228_1411_03.mp4",31015,1,1,1,1,0,0,1,0,0,0,0,"face",0,"OP"
10013,"S_20150215_2729_02.mp4",10175,1,1,1,0,0,0,0,0,0,0,0,"hand",0,"OP"
10013,"S_20150215_2729_02.mp4",10175,1,1,1,0,0,0,0,0,0,0,0,"hand",0,"OP"
10013,"S_20150215_2729_02.mp4",10175,1,1,1,0,0,0,0,0,0,0,0,"face",0,"OP"
10019,"S_20141224_2607_11.mp4",1520,1,1,1,1,1,0,0,0,0,0,0,"hand",0,"OP"
10019,"S_20141224_2607_11.mp4",1520,1,1,1,1,1,0,0,0,0,0,0,"hand",0,"OP"
10019,"S_20141224_2607_11.mp4",1520,1,1,1,1,1,0,0,0,0,0,0,"face",0,"OP"
1002,"S_20140206_1520_02.mp4",16715,2,2,2,1,0,0,1,0,0,0,0,"hand",0,"OP"
1002,"S_20140206_1520_02.mp4",16715,2,2,2,1,0,0,1,0.152326,0.0438719999999999,0.822249,0.395971,"hand",0.163528542857143,"OP"
1002,"S_20140206_1520_02.mp4",16715,2,2,2,1,0,0,1,0.07422,0.102764,0.695777,0.299514,"hand",0.492645428571429,"OP"
1002,"S_20140206_1520_02.mp4",16715,2,2,2,1,0,0,1,0,0,0,0,"hand",0,"OP"
1002,"S_20140206_1520_02.mp4",16715,2,2,2,1,0,0,1,0,0,0,0,"face",0,"OP"
1002,"S_20140206_1520_02.mp4",16715,2,2,2,1,0,0,1,0,0,0,0,"face",0,"OP"
10024,"S_20140920_2303_01.mp4",2100,1,1,1,0,0,0,1,0.012839,0.0208349999999999,0.30643,0.460722,"hand",0.0190763114285714,"OP"
10024,"S_20140920_2303_01.mp4",2100,1,1,1,0,0,0,1,0.014707,0.030264,0.203891,0.456075,"hand",0.0290930428571429,"OP"
10024,"S_20140920_2303_01.mp4",2100,1,1,1,0,0,0,1,0,0,0,0,"face",0,"OP"
10027,"S_20130421_0604_03.AVI.mp4",9355,1,1,1,0,0,0,0,0,0,0,0,"hand",0,"OP"
10027,"S_20130421_0604_03.AVI.mp4",9355,1,1,1,0,0,0,0,0,0,0,0,"hand",0,"OP"
10027,"S_20130421_0604_03.AVI.mp4",9355,1,1,1,0,0,0,0,0,0,0,0,"face",0,"OP"
10028,"S_20131127_1310_05.mp4",25110,1,1,1,1,1,1,1,0.0954579999999999,0.132661,0.377234,0.533168,"hand",0.663884619047619,"OP"
10028,"S_20131127_1310_05.mp4",25110,1,1,1,1,1,1,1,0.063818,0.098867,0.289213,0.422414,"hand",0.245792895238095,"OP"
10028,"S_20131127_1310_05.mp4",25110,1,1,1,1,1,1,1,0.2095348,0.139118,0.339216,0.187949,"face",0.00150866014285714,"OP"
10031,"S_20130811_0925_01.mp4",20885,1,1,1,0,0,0,0,0,0,0,0,"hand",0,"OP"
10031,"S_20130811_0925_01.mp4",20885,1,1,1,0,0,0,0,0,0,0,0,"hand",0,"OP"
10031,"S_20130811_0925_01.mp4",20885,1,1,1,0,0,0,0,0,0,0,0,"face",0,"OP"
10033,"S_20140320_1703_09.mp4",1825,1,1,1,1,0,0,1,0.038593,0.022848,0.483647,0.464105,"hand",0.0913086619047619,"OP"
10033,"S_20140320_1703_09.mp4",1825,1,1,1,1,0,0,1,0.03139,0.022048,0.564627,0.42453,"hand",0.119755895238095,"OP"
10033,"S_20140320_1703_09.mp4",1825,1,1,1,1,0,0,1,0,0,0,0,"face",0,"OP"
1004,"S_20150324_2907_01.mp4",7345,1,1,1,1,1,0,0,0,0,0,0,"hand",0,"OP"
1004,"S_20150324_2907_01.mp4",7345,1,1,1,1,1,0,0,0,0,0,0,"hand",0,"OP"
1004,"S_20150324_2907_01.mp4",7345,1,1,1,1,1,0,0,0,0,0,0,"face",0,"OP"
10041,"S_20131012_1125_06.mp4",4620,1,1,1,0,0,1,0,0,0,0,0,"hand",0,"OP"
10041,"S_20131012_1125_06.mp4",4620,1,1,1,0,0,1,0,0,0,0,0,"hand",0,"OP"
10041,"S_20131012_1125_06.mp4",4620,1,1,1,0,0,1,0,0.101918,0.101055,0.810453,0.21779,"face",0.598626967142857,"OP"
10044,"S_20140816_2130_01.mp4",24360,1,1,1,1,1,1,1,0.0796809999999999,0.0652510000000001,0.740107,0.629331,"hand",0.107521919047619,"OP"
10044,"S_20140816_2130_01.mp4",24360,1,1,1,1,1,1,1,0.09443,0.074103,0.610474,0.655864,"hand",0.0211694742857143,"OP"
